"id","word","comparison_word"
"6033","دهان و دندان","دهانودندان"
"6034","ریزعلی خاجوی","ریزعلیخاجوی"
"5670","سیه پوش","سیهپوش"
"5681","آناکارنینا","اناکارنینا"
"5700","استقلال تهران","استقلالتهران"
"5703","\N","\N"
"5745","ستوان دوم","ستواندوم"
"5830","یا قاضی الحاجات","یاقاضیالحاجات"
"5831","دلنوشته","دلنوشته"
"5832","آسمان و ریسمان بافتن","اسمانوریسمانبافتن"
"5856","وفورنعمت","وفورنعمت"
"5876","آرش کمان گیر","ارشکمانگیر"
"5883","نهضت مشروطه","نهضتمشروطه"
"5885","لحظه شماری","لحظهشماری"
"5886","لقاح مصنوعی","لقاحمصنوعی"
"5887","اجابت کردن","اجابتکردن"
"5888","احترام گذاشتن","احترامگذاشتن"
"5890","آلبوم عکس","البومعکس"
"5891","آبسرد","ابسرد"
"5894","آبشارهای  نیاگارا","ابشارهاینیاگارا"
"5947","روزنامه فروش","روزنامهفروش"
"5948","ریزه ریزه","ریزهریزه"
"5949","ریاضت کش","ریاضتکش"
"5951","روح پرور","روحپرور"
"5952","رشته پلویی","رشتهپلویی"
"5958","دندان خرگوشی","دندانخرگوشی"
"5961","بسطامی","بسطامی"
"5964","امیل زولا","امیلزولا"
"5965","امام هشتم","امامهشتم"
"5966","الاهلی","الاهلی"
"5967","اقامت گزیدن","اقامتگزیدن"
"5975","گیسو طلا","گیسوطلا"
"6012","ابراز احساسات","ابرازاحساسات"
"6015","ردیف بندی","ردیفبندی"
"5418","وکالت نامه","وکالتنامه"
"6026","کشتی نوح","کشتینوح"
"6030","رباعیات خیام","رباعیاتخیام"
"6031","دیوان اشعار","دیواناشعار"
"5671","سترون کردن","سترونکردن"
"5682","امدادرسان","امدادرسان"
"5690","فعل و انفعال","فعلوانفعال"
"5692","آبله","ابله"
"5693","انس گرفتن","انسگرفتن"
"5694","امیریه","امیریه"
"5705","هریره بادام","هریرهبادام"
"5746","یراق ساز","یراقساز"
"5805","الکتروکاردیوگراف","الکتروکاردیوگراف"
"5833","تبارک الله","تبارکالله"
"5834","گرشاسب نامه","گرشاسبنامه"
"5835","تعمیرات","تعمیرات"
"5836","برق کار","برقکار"
"5837","مینای دندان","مینایدندان"
"5838","عبادتگاه","عبادتگاه"
"5839","کمک های اولیه","کمکهایاولیه"
"5840","الگاریتم","الگاریتم"
"5841","اریکه ایرانیان","اریکهایرانیان"
"5842","آش دوغ","اشدوغ"
"5843","اشک تمساح","اشکتمساح"
"5857","شیرماهی","شیرماهی"
"5877","ارکان نماز","ارکاننماز"
"5884","مریم مقدس","مریممقدس"
"5892","آینده نگر","ایندهنگر"
"5893","آش کشک","اشکشک"
"5950","روان ویس","روانویس"
"5953","دولت مردان","دولتمردان"
"5954","دیویدبکهام","دیویدبکهام"
"5955","دیم کاری","دیمکاری"
"5956","دھان","دھان"
"5957","دکمه پیراهن","دکمهپیراهن"
"5962","براق کننده","براقکننده"
"5976","نا آرام","ناارام"
"6016","لوبیای سحرآمیز","لوبیایسحرامیز"
"5672","ریزه خور","ریزهخور"
"5685","اسب آبی","اسبابی"
"5747","هفت خان","هفتخان"
"5806","الکترومکانیک","الکترومکانیک"
"5844","مھران","مھران"
"5845","طهران قدیم","طهرانقدیم"
"5848","کهربایی","کهربایی"
"5860","زیبا پسند","زیباپسند"
"5861","یزد گرد سوم","یزدگردسوم"
"5878","اشترودل","اشترودل"
"5879","انسان اولیه","انساناولیه"
"5895","یکان یکان","یکانیکان"
"5896","الیناز","الیناز"
"5968","اشتران کوه","اشترانکوه"
"5969","الکترو مغناطیس","الکترومغناطیس"
"5977","نی نی لای لای","نینیلایلای"
"5419","ذرت مکزیکی","ذرتمکزیکی"
"5686","آجرنما","اجرنما"
"5749","فشارسنج","فشارسنج"
"5753","کیهان ورزشی","کیهانورزشی"
"5807","یا رب العالمین","یاربالعالمین"
"5846","شاه ماهی","شاهماهی"
"5862","گلیم بافی","گلیمبافی"
"5972","شوخی کردن","شوخیکردن"
"5973","سینمای ایران","سینمایایران"
"5978","نکتارمیوه","نکتارمیوه"
"5979","پلور","پلور"
"5980","عمو زاده","عموزاده"
"5981","عالی قاپو","عالیقاپو"
"5695","اشترانکوه","اشترانکوه"
"5696","اران بیدگل","ارانبیدگل"
"64778","ادا","ادا"
"5699","ارتش جمهوری اسلامی ایران","ارتشجمهوریاسلامیایران"
"5701","ادامه تحصیل","ادامهتحصیل"
"5750","ریمیکس","ریمیکس"
"5751","ریل گذاری","ریلگذاری"
"5808","هم قطار","همقطار"
"5899","آنتی باکتریال","انتیباکتریال"
"5983","عینک ساز","عینکساز"
"5994","دانشگاه آزاد اسلامی","دانشگاهازاداسلامی"
"5996","جداکردن","جداکردن"
"6019","ورزش صبحگاهی","ورزشصبحگاهی"
"5420","رھبر","رھبر"
"509","هیچوقت","هیچوقت"
"5704","کرمانشاهان","کرمانشاهان"
"5754","چهره سازی","چهرهسازی"
"5766","ھارون","ھارون"
"5768","دهکده کوچک","دهکدهکوچک"
"5849","کتابفروش","کتابفروش"
"5900","ازخودگذشتگی","ازخودگذشتگی"
"5984","ملی پوشان","ملیپوشان"
"5706","البالویی","البالویی"
"5769","یاخچی آباد","یاخچیاباد"
"5850","لارک","لارک"
"5903","ادبیات معاصر","ادبیاتمعاصر"
"5904","اجلاس سران","اجلاسسران"
"5985","میدان بار","میدانبار"
"5990","رضاشهر","رضاشهر"
"5993","دنیای وحش","دنیایوحش"
"5421","وطن دوست","وطندوست"
"5707","آمریکای جنوبی","امریکایجنوبی"
"5713","آسیب شناسی","اسیبشناسی"
"5757","نهنگ دریا","نهنگدریا"
"5763","لایه بردار","لایهبردار"
"5771","سینما سه بعدی","سینماسهبعدی"
"5851","رماتیک","رماتیک"
"5986","لوبیا چشم بلبلی","لوبیاچشمبلبلی"
"5708","اخترشناسی","اخترشناسی"
"5709","هولگرام","هولگرام"
"5905","احمدشاه","احمدشاه"
"5907","ابرازمحبت","ابرازمحبت"
"5910","آلبالویی","البالویی"
"5911","برف بازی","برفبازی"
"5912","بدمزه","بدمزه"
"5989","شب یلدا","شبیلدا"
"5995","جوهرنمک","جوهرنمک"
"5422","پاسداران","پاسداران"
"5710","فالگوش","فالگوش"
"5762","یارانه نقدی","یارانهنقدی"
"5906","اندیشه اسلامی","اندیشهاسلامی"
"5992","دهان سوز","دهانسوز"
"5999","بدرقه کردن","بدرقهکردن"
"5711","آگاهانه","اگاهانه"
"5712","اقتصاد دان","اقتصاددان"
"5714","ازون برون","ازونبرون"
"5716","افسریه","افسریه"
"5909","چهارچنگولی","چهارچنگولی"
"5913","پیش گام","پیشگام"
"6000","بتاکاروتن","بتاکاروتن"
"6005","انتقادپذیر","انتقادپذیر"
"5423","آزرا","ازرا"
"5715","اقامت گاه","اقامتگاه"
"5718","امامزاده داوود","امامزادهداوود"
"6001","شهید باکری","شهیدباکری"
"516","ال یاسین","الیاسین"
"6002","بادکوبه","بادکوبه"
"6008","امام زاده هاشم","امامزادههاشم"
"6010","استراحت کردن","استراحتکردن"
"5424","تندگویان","تندگویان"
"6003","بادام هندی","بادامهندی"
"6004","اکبر جوجه","اکبرجوجه"
"6006","انبوه ساز","انبوهساز"
"5425","هگل","هگل"
"6007","امیرارسلان نامدار","امیرارسلاننامدار"
"5426","چیتا","چیتا"
"5427","جورچین","جورچین"
"523","بی سواد","بیسواد"
"5428","انتزاعی","انتزاعی"
"5429","نکته بین","نکتهبین"
"5430","یاثارالله","یاثارالله"
"5431","دفاعیه","دفاعیه"
"5432","دھکدہ","دھکدہ"
"3960","بی پروا","بیپروا"
"3959","بی اعتبار","بیاعتبار"
"4104","هموارسازی","هموارسازی"
"4103","هموارساز","هموارساز"
"4102","همه‏گیر","همه‏گیر"
"4101","همه‏چیزخوار","همه‏چیزخوار"
"4100","همه‏پرسی","همه‏پرسی"
"4099","هم‏نوایی","هم‏نوایی"
"4098","هم‏نوایان","هم‏نوایان"
"4095","همگون","همگون"
"4094","همگن‏ساز","همگن‏ساز"
"4092","همگرایی","همگرایی"
"4091","همگرا","همگرا"
"4090","هم‏صدایی","هم‏صدایی"
"4089","هم‏صدا","هم‏صدا"
"4105","همیاری","همیاری"
"4097","هم نامی","همنامی"
"4096","هم نام","همنام"
"4093","هم گروه","همگروه"
"4088","هم سفری","همسفری"
"4087","هم سفران","همسفران"
"5433","روانکاو","روانکاو"
"4187","هکر","هکر"
"4185","ستارخان","ستارخان"
"4176","تناسب اندام","تناسباندام"
"4172","له کردن","لهکردن"
"4171","هوشمندانه","هوشمندانه"
"4170","آنتالیا","انتالیا"
"4169","رزومه","رزومه"
"4166","نادرشاه","نادرشاه"
"4165","اقامتگاه","اقامتگاه"
"4164","دیدبان","دیدبان"
"4162","ستارگان","ستارگان"
"4161","نگاه کردن","نگاهکردن"
"4160","وراجی","وراجی"
"4033","ترکمنچای","ترکمنچای"
"4022","گرینویچ","گرینویچ"
"4008","مفاصاحساب","مفاصاحساب"
"4007","فیس و افاده","فیسوافاده"
"4112","دهیار","دهیار"
"4106","انگلیسی","انگلیسی"
"4163","ریاضیدان","ریاضیدان"
"4050","گله مند","گلهمند"
"4049","پلاسیده","پلاسیده"
"4046","ملاج","ملاج"
"4045","مرزنجوش","مرزنجوش"
"4044","مدعی العموم","مدعیالعموم"
"4043","جامع الشرایط","جامعالشرایط"
"4042","مال التجاره","مالالتجاره"
"4041","مادمازل","مادمازل"
"4039","گلادیاتور","گلادیاتور"
"4038","کک ومک","ککومک"
"4036","کایاک","کایاک"
"540","ناصرخسرو","ناصرخسرو"
"4174","تیراندازی","تیراندازی"
"4168","شمارش","شمارش"
"3986","هیدروالکتریک","هیدروالکتریک"
"3979","پارالمپیک","پارالمپیک"
"3997","مرعوب کننده","مرعوبکننده"
"3996","ممنوع الورود","ممنوعالورود"
"3990","ترجیعات","ترجیعات"
"3877","ناآگاه","نااگاه"
"3876","پرافاده","پرافاده"
"3920","نوازندگان","نوازندگان"
"3919","ارکستر","ارکستر"
"3918","ناوبری","ناوبری"
"3917","ادعانامه","ادعانامه"
"3916","همبازی","همبازی"
"3915","نه چندان","نهچندان"
"4115","ندانستن","ندانستن"
"4114","دندانساز","دندانساز"
"4113","نهالستان","نهالستان"
"4109","لکه گیری","لکهگیری"
"4108","طنزپرداز","طنزپرداز"
"4086","همساز","همساز"
"4084","همزیستی","همزیستی"
"4080","همرس","همرس"
"4079","همراهی","همراهی"
"4078","همدلی","همدلی"
"4077","همدلانه","همدلانه"
"4073","همجوش","همجوش"
"4071","هم‏پیما","هم‏پیما"
"4070","هم‏پوشانی","هم‏پوشانی"
"4068","همپایی","همپایی"
"4067","همپایه‏ساز","همپایه‏ساز"
"4066","همپایگی","همپایگی"
"4065","همپا","همپا"
"4063","همایگی","همایگی"
"4062","همایشنامه","همایشنامه"
"4061","هم‏ایستایی","هم‏ایستایی"
"4060","هم‏ایستا","هم‏ایستا"
"4059","هماهنگ","هماهنگ"
"4058","همانندسازی","همانندسازی"
"4057","همانندانگاری","همانندانگاری"
"4056","هم‏اندیشی","هم‏اندیشی"
"4107","رشوه خواری","رشوهخواری"
"4085","هم ساخت","همساخت"
"4083","همزن","همزن"
"4082","هم زمان","همزمان"
"4081","همرفت","همرفت"
"45510","اسد","اسد"
"4076","همخوانی","همخوانی"
"4075","همخوان","همخوان"
"4074","هم خانواده","همخانواده"
"4072","هم جنس","همجنس"
"4069","هم پخت","همپخت"
"4064","همبندی","همبندی"
"4055","هم ارزی","همارزی"
"4054","هم‏ارز","هم‏ارز"
"4053","هم آوایی","هماوایی"
"4052","هم آوا","هماوا"
"4051","محکمه پسند","محکمهپسند"
"5434","گل گاوزبان","گلگاوزبان"
"4116","اجازه","اجازه"
"4110","مین گذاری","مینگذاری"
"4037","کأن لم یکن","کانلمیکن"
"4035","مع الفارق","معالفارق"
"4034","قشقرق","قشقرق"
"4032","فی البداهه","فیالبداهه"
"4031","کم سویی","کمسویی"
"4030","علیکم السلام","علیکمالسلام"
"4029","علیک السلام","علیکالسلام"
"4028","عصب کشی","عصبکشی"
"4027","طوطی وار","طوطیوار"
"4026","کاردینال","کاردینال"
"4024","صعب الوصول","صعبالوصول"
"4023","سانتیمانتال","سانتیمانتال"
"4021","ژوراسیک","ژوراسیک"
"4020","زنده یاد","زندهیاد"
"4019","رونوشت","رونوشت"
"4018","دوپهلو","دوپهلو"
"4017","نخودسیاه","نخودسیاه"
"4016","دمکرات","دمکرات"
"4015","دلباز","دلباز"
"4014","دگردیسی","دگردیسی"
"4013","دستخوش","دستخوش"
"4012","دستچین","دستچین"
"4011","دست به عصا","دستبهعصا"
"4010","دست به دست","دستبهدست"
"4009","دست انداز","دستانداز"
"4006","خوش طبعی","خوشطبعی"
"4005","خوش عنان","خوشعنان"
"4004","خانه تکانی","خانهتکانی"
"4003","خانمان سوز","خانمانسوز"
"4002","فورس ماژور","فورسماژور"
"4001","حسن نیت","حسننیت"
"4000","قرض الحسنه","قرضالحسنه"
"3999","حجت الاسلام والمسلمین","حجتالاسلاموالمسلمین"
"3998","مطلق العنان","مطلقالعنان"
"3995","بخت آزمایی","بختازمایی"
"3994","جاروجنجال","جاروجنجال"
"3993","جا انداختن","جاانداختن"
"3992","دی الکتریک","دیالکتریک"
"3991","دکوراسیون","دکوراسیون"
"3989","تحت اللفظی","تحتاللفظی"
"3988","تحمیق","تحمیق"
"3987","تپانچه","تپانچه"
"3985","پیش قراول","پیشقراول"
"3984","پلی استیشن","پلیاستیشن"
"3983","پشت نویسی","پشتنویسی"
"3982","پشتک چارکش","پشتکچارکش"
"3981","پاورچین","پاورچین"
"3980","پارادوکس","پارادوکس"
"3978","بیوشیمی","بیوشیمی"
"3977","بی هوا","بیهوا"
"3976","بیمه گذار","بیمهگذار"
"3975","بی گناه","بیگناه"
"3974","بی گدار","بیگدار"
"3973","بی فایده","بیفایده"
"3972","بی غرض","بیغرض"
"3971","بی عاطفه","بیعاطفه"
"3970","بی سیاست","بیسیاست"
"3969","بی درنگ","بیدرنگ"
"3968","بی حساب و کتاب","بیحسابوکتاب"
"3967","بیحرمت","بیحرمت"
"3966","بی جوهر","بیجوهر"
"3965","بی ثبات","بیثبات"
"3964","بی تقوا","بیتقوا"
"3963","بی تفاوت","بیتفاوت"
"3962","بیت الله الحرام","بیتاللهالحرام"
"3961","بی تاب","بیتاب"
"3958","بلوا","بلوا"
"3956","سوق الجیشی","سوقالجیشی"
"3955","علی السویه","علیالسویه"
"3954","گرامیداشت","گرامیداشت"
"3953","بتونه کاری","بتونهکاری"
"3952","بته جقه","بتهجقه"
"3950","بالن سواری","بالنسواری"
"3949","آیت الله العظما","ایتاللهالعظما"
"3948","گالوانیزه","گالوانیزه"
"3947","آفتاب سوخته","افتابسوخته"
"3946","شله قلمکار","شلهقلمکار"
"3945","اینرسی","اینرسی"
"3944","ایندکس","ایندکس"
"3943","ای میل","ایمیل"
"4117","انتخابات","انتخابات"
"3942","اولتیماتوم","اولتیماتوم"
"3941","انگشت دانه","انگشتدانه"
"3940","انفاکتوس","انفاکتوس"
"3939","انترناسیونالیسم","انترناسیونالیسم"
"3938","انبارگردانی","انبارگردانی"
"3937","امین الدوله","امینالدوله"
"3936","الم شنگه","المشنگه"
"3935","الکتروکاردیوگرافی","الکتروکاردیوگرافی"
"3934","الکتروسکوپ","الکتروسکوپ"
"3933","الدرم بلدرم کردن","الدرمبلدرمکردن"
"3932","الابختکی","الابختکی"
"3931","اگزیستانسیالیسم","اگزیستانسیالیسم"
"3930","اگزیستانسیالیست","اگزیستانسیالیست"
"3929","افسانه سرا","افسانهسرا"
"3928","اصلاوابدا","اصلاوابدا"
"3926","استوقودوس","استوقودوس"
"3925","استوارنامه","استوارنامه"
"3924","استامبولی","استامبولی"
"3923","اسبدوانی","اسبدوانی"
"3922","اساس نامه","اساسنامه"
"3921","ارگانیسم","ارگانیسم"
"3914","متعاقباً","متعاقبا"
"3913","قاعدتاً","قاعدتا"
"3912","درحالی که","درحالیکه"
"3911","دربرگیرنده","دربرگیرنده"
"3910","جنون آمیز","جنونامیز"
"3909","به هیچ وجه","بههیچوجه"
"3908","به علاوه","بهعلاوه"
"3907","به تنهایی","بهتنهایی"
"3906","به تناوب","بهتناوب"
"3905","به تدریج","بهتدریج"
"3904","به آهستگی","بهاهستگی"
"3903","بنابراین","بنابراین"
"3902","این چنین","اینچنین"
"3901","ایست","ایست"
"3900","البته","البته"
"3899","احتمالاً","احتمالا"
"3898","واژه سازی","واژهسازی"
"3897","هوانوردی","هوانوردی"
"3895","نام گذاری","نامگذاری"
"3893","مجسمه سازی","مجسمهسازی"
"3892","گیاه شناسی","گیاهشناسی"
"3891","گرگ و میش","گرگومیش"
"3890","کنده کاری","کندهکاری"
"3889","زودباوری","زودباوری"
"3888","زمان سنجی","زمانسنجی"
"3887","چندگانگی","چندگانگی"
"3886","چندبرابری","چندبرابری"
"3885","پیش بینی","پیشبینی"
"3884","پیچ وتاب","پیچوتاب"
"3883","بی جوهری","بیجوهری"
"3882","بی توجهی","بیتوجهی"
"3881","بی مسما","بیمسما"
"3880","ناخن خشکی","ناخنخشکی"
"3879","موسیقی دان","موسیقیدان"
"3878","ناقلا","ناقلا"
"3875","میانجی گری","میانجیگری"
"3874","ناشیگری","ناشیگری"
"3873","یکدندگی","یکدندگی"
"3872","سرحالی","سرحالی"
"3871","خسران","خسران"
"3870","خامی","خامی"
"3869","جن و پری","جنوپری"
"3868","پافشاری","پافشاری"
"3866","امساک","امساک"
"3865","صاحب نظر","صاحبنظر"
"3864","نعره زنان","نعرهزنان"
"3863","مورد آزمایش","موردازمایش"
"3862","من درآوردی","مندراوردی"
"3861","محاوره ای","محاورهای"
"3860","متکلف","متکلف"
"3859","مآل اندیش","مالاندیش"
"3858","کثیرالوقوع","کثیرالوقوع"
"3856","بی پیرایه","بیپیرایه"
"3855","زبانشناس","زبانشناس"
"3854","زاویه دار","زاویهدار"
"3853","دندانه دار","دندانهدار"
"3852","پرت کننده","پرتکننده"
"4111","ورشکستگی","ورشکستگی"
"4118","زنانه","زنانه"
"3851","پایین ترین","پایینترین"
"3850","بی ارتباط","بیارتباط"
"3849","به یادمانده","بهیادمانده"
"3848","به هم ریخته","بههمریخته"
"42578","آلب","الب"
"3847","بالارونده","بالارونده"
"3846","آگاهی بخش","اگاهیبخش"
"3845","اندیشمندانه","اندیشمندانه"
"3844","اغراق آمیز","اغراقامیز"
"40550","ایالات متحده","ایالاتمتحده"
"40548","ایالات متحده آمریکا","ایالاتمتحدهامریکا"
"40694","آبوجا","ابوجا"
"40918","ابوظبی","ابوظبی"
"40928","آپیا","اپیا"
"40551","ایتالیا","ایتالیا"
"40919","اتاوا","اتاوا"
"40528","اتریش","اتریش"
"48075","اتضاع","اتضاع"
"40529","اتیوپی","اتیوپی"
"40695","آخالتسیخه","اخالتسیخه"
"40929","آدلاید","ادلاید"
"40495","اریتره","اریتره"
"40530","اردن","اردن"
"40554","آرژانتین","ارژانتین"
"40927","ایروان","ایروان"
"40532","اروگوئه","اروگویه"
"40533","ازبکستان","ازبکستان"
"40534","اسپانیا","اسپانیا"
"40535","استرالیا","استرالیا"
"40920","استکهلم","استکهلم"
"40690","اسکوپیه","اسکوپیه"
"40921","اسلام آباد","اسلاماباد"
"40553","ایسلند","ایسلند"
"40922","اسلو","اسلو"
"40537","اسلواکی","اسلواکی"
"40538","اسلوونی","اسلوونی"
"40923","اسمره","اسمره"
"40924","اسن","اسن"
"40931","آسونسیون","اسونسیون"
"40555","آفریقای جنوبی","افریقایجنوبی"
"40539","افغانستان","افغانستان"
"79922","ایکالوئیت","ایکالوییت"
"40540","اکوادور","اکوادور"
"40925","الجزیره","الجزیره"
"40542","السالوادور","السالوادور"
"49216","المعیت","المعیت"
"40544","امارات","امارات"
"40543","امارات متحده عربی","اماراتمتحدهعربی"
"40757","ام القوین","امالقوین"
"40691","امان","امان"
"79930","انتاریو","انتاریو"
"40772","آنتانان  آریوو","انتاناناریوو"
"40497","آنتیگوا و باربودا","انتیگواوباربودا"
"40692","انجامنا","انجامنا"
"40498","آندورا","اندورا"
"40545","اندونزی","اندونزی"
"40749","یانگون رانگون","یانگونرانگون"
"40693","اوآگادوگو","اواگادوگو"
"41026","اوترخت","اوترخت"
"40934","آوکلند","اوکلند"
"40547","اوگاندا","اوگاندا"
"40926","اولانباتار","اولانباتار"
"40750","یائواونده","یایواونده"
"45664","ایپک","ایپک"
"40559","باربادوس","باربادوس"
"40698","باسه  تر","باسهتر"
"40699","باماکو","باماکو"
"40936","بانکوک","بانکوک"
"40701","بانکوئی","بانکویی"
"40560","باهاما","باهاما"
"40937","بخارست","بخارست"
"40702","براتیسلاوا","براتیسلاوا"
"40703","برازاویل","برازاویل"
"40938","برازیلیا","برازیلیا"
"40563","بریتانیا","بریتانیا"
"79925","بریتیش کلمبیا","بریتیشکلمبیا"
"41049","بریج  تاون","بریجتاون"
"42889","برف آب","برفاب"
"40944","بیروت","بیروت"
"40939","بروکسل","بروکسل"
"40499","برونئی","برونیی"
"43060","بریوان","بریوان"
"40707","بیشکک","بیشکک"
"4119","دهیاری","دهیاری"
"40564","بلاروس","بلاروس"
"40565","بلژیک","بلژیک"
"40566","بلغارستان","بلغارستان"
